Yorum No,Havayolu,Kullanıcı Adı,Katkı Sayısı,Puan,Başlık / Ana Tema,Rota,Kategori,Seyahat Tarihi,Yorum Tarihi,"Yorum İçeriği (Tam Metin - Türkçe)",Olumlu/Olumsuz/Nötr
445,Turkish Airlines,M Şamil E,13,2,Personel davranışı ve uçuşa alınmama,Istanbul - Madrid,Europe,Şubat 2022,2 Şubat 2022,"Check-in işlemini tamamladıktan sonra kapı görevlisi tarafından pasaport alınacağı ve uçuş kapısına kadar eşlik edileceği söylendi. Ancak sonrasında uçuşa alınmadım ve yeterli mantıklı açıklama yapılmadığını, personelin agresif davrandığını ve planlanan Arjantin ve Brezilya bağlantılı uçuşlarımın da maddi kayba uğradığını belirtiyorum.",Olumsuz
446,Turkish Airlines,Nehir Ö,4,0,Güler yüzlü hizmet ve genel memnuniyet,Istanbul - Brussels,Europe,Aralık 2021,26 Ocak 2022,"Turkish Airlines ile gerçekleştirdiğim İstanbul-Brüksel uçuşunda kabin ekibinin güler yüzlü ve ilgili yaklaşımından memnun kaldım. Kısa uçuşlarda dahi yolcularla yakından ilgilenmeleri olumlu bir izlenim bırakıyor. İkram ve hizmet açısından birçok düşük maliyetli havayoluna kıyasla daha kapsamlı bir servis sunulduğunu düşünüyorum. Fiyatların daha yüksek olduğu doğru olsa da alınan hizmetin bu farkı kısmen dengelediği kanaatindeyim. Genel olarak markayı dünya çapında başarılı havayolları arasında değerlendiriyorum.",Olumlu
447,Turkish Airlines,YeicGeztoz✔,34553,38,Zamanında kalkış ve güler yüzlü ekip,Izmir - Istanbul,Domestic,Eylül 2021,21 Aralık 2021,"İzmir Adnan Menderes Havalimanı’ndan İstanbul’a yapılan uçuşta yer hizmetleri ve kabin ekibi güler yüzlü ve yardımseverdi. Uçuş planlanan saatte kalktı ve herhangi bir rötar yaşanmadı. Yolculuk boyunca kabin içi düzen ve iletişim tatmin ediciydi. İstanbul’a zamanında iniş yapılması seyahat planının aksamaması açısından önemliydi. Genel olarak sorunsuz ve konforlu bir deneyim yaşadım.",Olumlu
448,Turkish Airlines,Aleyna Dursun,1,0,Check-in personeline teşekkür,Antalya - Istanbul,Domestic,Aralık 2021,4 Aralık 2021,"Antalya-İstanbul 18:10 uçuşum öncesinde check-in işlemleri sırasında görevli personelin ilgisinden memnun kaldım. Özellikle Perihan Türker isimli çalışanın güler yüzlü, sabırlı ve yardımsever yaklaşımı süreci kolaylaştırdı. Yolcularla birebir ilgilenmesi ve çözüm odaklı davranması olumlu bir müşteri deneyimi sağladı. Personel kalitesinin marka algısına önemli katkı sunduğunu düşünüyorum.",Olumlu
449,Turkish Airlines,54mustafa,141,0,Disiplinli kabin ekibi ve iyi hizmet,Istanbul - Gaziantep,Domestic,Kasım 2020,21 Ekim 2021,"İstanbul-Gaziantep uçuşunda kabin memurlarının disiplinli ve profesyonel tavrı dikkat çekiciydi. Yolculara karşı nazik ve yardımsever davranmaları seyahatin konforunu artırdı. Sorun çözme konusundaki yaklaşımları ve ikram hizmetleri memnuniyet vericiydi. Genel olarak uçuş deneyimi beklentileri karşılayan bir seviyedeydi.",Olumlu
450,Turkish Airlines,cheas a,1,2,Bilet değişiklik ücreti şikayeti,Düsseldorf - Sinop,Europe,Eylül 2021,14 Eylül 2021,"Düsseldorf-Sinop dönüş uçuşumu bir hafta öne almak istediğimde yüksek değişiklik ücreti talep edildiğini belirtiyorum. Ödenen tutarın, aynı hatta satılan bazı yeni biletlerden daha yüksek olması adil bulunmadı. Konuyla ilgili havayoluna e-posta gönderildiği ancak yanıt alınamadığı ifade edildi. Değişiklik ücretlerinin şeffaf ve daha makul olması gerektiğini düşünüyorum.",Olumsuz
451,Turkish Airlines,Semiha D,6,1,Müşteri hizmetleri ve geri dönüş süreçlerinde büyük sıkıntı,San Francisco - Istanbul,International,Eylül 2021,13 Eylül 2021,"San Francisco-İstanbul uçuşum sırasında kabin içi hizmetler tatmin ediciydi; personel nazik ve yardımcıydı. Ancak, uçuş sonrası yaşadığımız sorunlar gerçekten kabul edilemez düzeydeydi. Biletlerimizin kullanılamaması ve yeni bilet almak zorunda kalmamız, havayolunun geri bildirim ve çözüm sürecinin ne kadar yavaş ve etkisiz olduğunu ortaya koydu. Üç gün içinde 11 farklı çalışanla görüşmemize rağmen, 10 gün geçmesine rağmen hâlâ bir sonuç elde edemedik. Yetkililere ulaşmak neredeyse imkânsızdı, sistem sürekli “2 saat içinde sonuçlanacak” bildirimi veriyordu ancak kesinlikle sonuçlanmadı. Bu durum tatilimizi ciddi şekilde olumsuz etkiledi ve gereksiz maliyetler oluşturdu. Genel olarak, geri bildirim süreçlerinin ciddi biçimde iyileştirilmesi gerektiğini düşünüyorum.",Olumsuz
452,Turkish Airlines,Benim,3,1,Bilet kaybı ve havaalanı karışıklığı,İstanbul - Nuremberg,Europe,Ağustos 2021,29 Ağustos 2021,"İstanbul-Nürnberg uçuşumda yaşanan deneyim son derece stresli ve maliyetliydi. Kaybolan eşyam ve zaman kaybım, online yurt dışı uçuş takip sistemindeki kafa karışıklığı ile birleşince seyahat ciddi şekilde zorlaştı. D15 peronunun yalnızca iç hatlar için geçerli olması gibi hatalı bilgilendirmeler, planlamamı bozdu. Bu uçuş benim için 1.000€'dan fazla ek maliyet yarattı ve sürecin kontrolü tamamen havayolunun sistemsel sorunları nedeniyle elimden alındı. Uçuş öncesi bilgilendirme ve sistemlerin daha net ve kullanıcı dostu olması gerektiğini düşünüyorum.",Olumsuz
453,Turkish Airlines,ugur A,5,2,Havayolu hizmet kalitesi ve çalışanların yaklaşımı olumsuz,Amsterdam - Antalya,Europe,Temmuz 2021,15 Temmuz 2021,"Amsterdam-Antalya uçuşum sırasında Türk Hava Yolları’nın hizmet kalitesi beklentilerimin oldukça altında kaldı. Şirketin müşteri destek sistemi yetersiz ve çalışanlar genellikle prosedürleri takip eden, insani yaklaşım göstermeyen bir tavır sergiliyor. Karşılaşılan sorunlar sırasında yardım etmek yerine, sorunun çözümünü yolcuya bırakma eğilimi vardı. İnsan odaklı hizmet anlayışının eksikliği, şirketin profesyonellikten uzak bir imaj çizmesine neden oluyor. Bu durum, hem yolcu memnuniyetini hem de şirketin marka değerini olumsuz etkiliyor.",Olumsuz
454,Turkish Airlines,Barış K,2,0,Uçak içi hizmet kalitesi memnun edici,Ankara - Antalya,Domestic,Haziran 2021,1 Haziran 2021,"Ankara-Antalya uçuşunda kabin içi hizmetler ve verilen ikramlar oldukça başarılıydı. Kabin ekibinin güler yüzlü ve ilgili yaklaşımı yolculuk sırasında konfor ve memnuniyet sağladı. Bu tür kısa mesafeli uçuşlarda bile personelin profesyonel ve samimi davranışı, yolculuk deneyimini pozitif yönde etkiliyor. Genel olarak hizmet kalitesinden memnun kaldım ve uçuş sorunsuz geçti.",Olumlu
455,Turkish Airlines,E O,1,1,Bilet fiyatlarının aşırı yüksek olması,Düsseldorf - Kayseri,Europe,Temmuz 2020,28 Mayıs 2021,"Düsseldorf-Kayseri uçuşunda bilet fiyatları oldukça yüksek bulundu. Beş kişilik bir aile için yaz sezonunda ödenen 2.500€ ve üzeri tutar, yolcular için ciddi bir mali yük oluşturuyor. Özellikle gurbetçi aileler açısından bu fiyatlandırma adil ve uygun değil. Sezon dışı veya promosyon dönemlerinde fiyatların daha erişilebilir olması, hem müşteri memnuniyetini artırır hem de havayolunun rekabet gücünü yükseltir. Genel olarak fiyat politikasının gözden geçirilmesi gerektiğini düşünüyorum.",Olumsuz
456,Turkish Airlines,YeicGeztoz✔,34553,32,Konforlu ve rahat yolculuk,Malatya - Istanbul,Domestic,Kasım 2020,25 Mayıs 2021,"Malatya-İstanbul uçuşum oldukça konforlu ve rahat geçti. Yolcu sayısının az olmasından dolayı orta koltuklar boş bırakılmıştı, bu da yolculuk sırasında ekstra rahatlık sağladı. Kabin ekibi ilgisini ve güler yüzünü sürdürerek yolculuk boyunca yolculara destek oldu. Ancak uçaktan inerken tüm yolcuların mesafe ve hijyen kurallarına yeterince uymaması, özellikle pandemi sürecinde dikkat edilmesi gereken unsurlardan biri olarak öne çıktı. Anonslara rağmen mesafeyi korumayan yolcuların davranışı, uçuş deneyimini biraz olumsuz etkiledi. Genel olarak hizmet kalitesinden memnun kaldım, fakat yolcu disiplininin artırılması uçuş güvenliği ve konfor açısından önem taşıyor.",Olumlu
457,Turkish Airlines,Taner Gundogan,12,0,Mükemmel servis ve personel davranışı, Dubai - Istanbul,International,Mayıs 2021,22 Mayıs 2021,"Dubai-İstanbul uçuşum sırasında Türk Hava Yolları’nın sunduğu servis gerçekten etkileyiciydi. Kabin ekibi ve yer personeli güler yüzlü, yardımsever ve işlerini son derece profesyonel bir şekilde yürütüyordu. Her uçuşta aynı yüksek standartları görmek, markaya duyduğum güveni pekiştiriyor. Yemek ve içecek ikramları zamanında sunuldu, kabin düzeni ve temizlik özenle sağlandı. Yolculuk boyunca kendimi değerli ve iyi karşılanmış hissettim. Bu tür profesyonellik ve tutarlılık, bir havayolunun yolcu memnuniyeti açısından ne kadar kritik olduğunu bir kez daha gösterdi.",Olumlu
458,Turkish Airlines,Hilal S,1,0,Kaliteli ve güvenli hizmet, Istanbul - Dalaman,Domestic,Nisan 2021,29 Nisan 2021,"İstanbul-Dalaman uçuşumda pandemi koşullarına uygun tüm önlemler alınmıştı. Online check-in ile hızlı bir şekilde işlemlerimi tamamladım ve havalimanında uzun bekleme yaşamadım. Sosyal mesafe kuralları ve hijyen önlemleri hem check-in alanında hem de uçağa biniş sırasında etkin bir şekilde uygulandı. Kabin ekibi, yolcuların güvenli ve konforlu bir şekilde yerleşmesini sağladı. Kısa mesafeli uçuşlarda dahi personelin ilgisi ve profesyonel yaklaşımı, yolculuk deneyimini oldukça olumlu hale getirdi. Bu deneyim, uçakla seyahatin pandemi döneminde güvenli bir seçenek olduğunu gösteriyor.",Olumlu
459,Turkish Airlines,Burcu_Ozd,80,0,Hizmet kalitesi ve uçuş deneyimi, Antalya - Istanbul,Domestic,Nisan 2021,25 Nisan 2021,"Antalya-İstanbul uçuşumda genel hizmet kalitesi her zamanki gibi çok iyiydi. Ancak iniş ve kalkış sırasında yolcuların yerleşim ve iniş süreleri dikkate alınarak daha fazla önlem alınması gerektiğini gözlemledim. Sosyal mesafe ve pandemi önlemleri açısından yapılan anonslar yetersiz kalabiliyor. Özellikle otobüs ile terminale transfer sırasında tek otobüs kullanılması sosyal mesafenin korunmasını zorlaştırdı. Bu durum, THY kalitesine yakışmayan bir eksiklik olarak öne çıkıyor. Kabin içi hizmet, temizlik ve ikramlar beklentileri karşılayacak seviyedeydi ancak Covid-19 önlemlerinin daha titiz uygulanması gerekiyor.",Olumlu
460,Turkish Airlines,Bilal T,2,2,Bilet değişikliği ve müşteri hizmetleri sorunları, Lviv - Istanbul,Europe,Mart 2021,25 Mart 2021,"Lviv-İstanbul uçuşumda yaşanan bilet işlemleri süreci oldukça stresli ve maliyetliydi. Eşimin sağlık sorunları nedeniyle biletimizi açığa almak zorunda kaldık ve açığa alma ücreti olarak 505₺ ödedim. Daha sonra uçuş tarihini değiştirmek için müşteri hizmetlerini aradığımda 145₺ + 15$ ek ücret çıkacağı söylendi, fakat söz verilen geri dönüş yapılmadı. Durumun sürekli tekrarlanması ve yanlış bilgi verilmesi, ciddi bir zaman kaybı ve ek maliyete yol açtı. Sonunda biletimiz business class statüsüne geçirdi ve ödenen ücret neredeyse iki katına çıktı. Sürecin düzensizliği ve müşteri hizmetlerinin hatalı bilgilendirmesi, yolculuk deneyimini son derece olumsuz etkiledi. Bu tür uygulamaların yolcu memnuniyeti üzerinde büyük olumsuz etkisi olduğunu düşünüyorum.",Olumsuz
461,Turkish Airlines,Gülnur Kaptanoglu,10,0,Yardımsever ekip ve sorunsuz uçuş,Ordu - Ankara,Domestic,Şubat 2021,11 Şubat 2021,"AnadoluJet ile Ordu Giresun Havalimanı’ndan Ankara Esenboğa Havalimanı’na 11.02.2021 tarihinde saat 06:30’da gerçekleştirilen 7139 sefer sayılı uçuşta son derece olumlu bir deneyim yaşadım. Seyahatim öncesinde merdivenlerden kaymam nedeniyle ayaklarımda hasar oluşmuştu ve hareket etmekte zorlanıyordum. Buna rağmen hem Ordu Havalimanı yer hizmetleri personeli hem de uçak içindeki kabin ekibi büyük bir hassasiyet ve ilgi gösterdi. Uçakta yolcu olmayan üçlü koltuğa oturmam sağlandı, buz temin edildi ve ihtiyaç halinde kullanmam için sandalye ayarlandı. Kabin görevlilerinin güler yüzlü, anlayışlı ve çözüm odaklı yaklaşımı seyahatimi çok daha konforlu hale getirdi. Uçuş zamanında kalktı ve sorunsuz bir şekilde iniş yaptı. Pilotların tecrübeli ve sakin uçuşu da güven vericiydi. Zor bir durumda gösterilen bu ilgi ve profesyonellik için teşekkür ederim.",Olumlu
462,Turkish Airlines,Hülya P,2,0,Uçuş saati değişikliğinde çözüm odaklı destek,London - Istanbul,Europe,Aralık 2020,15 Aralık 2020,"Londra-İstanbul uçuşumda yaşanan saat değişikliği nedeniyle 19 Aralık tarihli biletimle ilgili ciddi sıkıntılar yaşadım. Ancak 16.12.2020 tarihinde yaptığım telefon görüşmesinde 90059814 sicil numaralı Büşra Hanım son derece anlayışlı ve kibar bir yaklaşım sergiledi. Sorunumu dikkatle dinleyerek gerekli düzenlemeleri yaptı ve güncellenmiş biletimi e-posta yoluyla tarafıma iletti. Günlerdir süren stresli sürecin çözülmesinde kendisinin profesyonel ve çözüm odaklı yaklaşımı büyük rol oynadı. Böyle çalışanların kuruma değer kattığını düşünüyorum ve kendisine teşekkür ediyorum.",Olumlu
463,Turkish Airlines,YeicGeztoz✔,78,0,Pandemi döneminde güvenli ve rahat uçuş,Istanbul - Malatya,Domestic,Ekim 2020,11 Kasım 2020,"İstanbul Havalimanı’ndan Malatya’ya gerçekleştirdiğim uçuş pandemi koşullarına uygun şekilde organize edilmişti. Yiyecek ikramı kaldırılmış olsa da yolculara su ve içerisinde maske ile ıslak mendil bulunan hijyen seti dağıtıldı. Yolcu sayısının az olduğu durumlarda orta koltukların boş bırakılması, sosyal mesafenin korunması açısından olumlu bir uygulamaydı. Kabin içi temizlik ve düzen yeterli seviyedeydi. Genel olarak sakin, güvenli ve rahat bir yolculuk deneyimi yaşadım.",Olumlu
464,Turkish Airlines,Semih Y,0,0,Fiyat politikası ve bonus bilet şikayeti,Berlin - Istanbul,Europe,Kasım 2019,24 Ekim 2020,"Berlin-İstanbul uçuşumla ilgili en büyük şikayetim fiyat politikası oldu. Bilet fiyatlarının yüksek olduğunu düşünüyorum. Ayrıca bonus puan kullanarak alınan ücretsiz biletlerin dahi ek ücretler ve farklar nedeniyle normal bilet fiyatına yakın hatta daha yüksek maliyete ulaşması hayal kırıklığı yarattı. Fiyat-performans açısından beklentilerimi karşılamayan bir deneyim oldu.",Olumsuz
465,Turkish Airlines,Pinar Y,0,0,Rezervasyon sisteminde fiyat tutma sorunu,Istanbul - New York City,International,Ekim 2020,20 Ekim 2020,"İstanbul-New York uçuşum öncesinde yaşadığım sorun doğrudan uçuşla değil, web sitesindeki rezervasyon sistemiyle ilgiliydi. Online rezervasyon sırasında sunulan 24 saat fiyat sabitleme seçeneğine rağmen, süre dolmadan rezervasyonun haber verilmeden iptal edilmesi ciddi bir mağduriyet yarattı. Sonrasında aynı biletin daha yüksek fiyatla satışa sunulması güven zedeleyici bir durum olarak değerlendirildi. Özellikle pandemi döneminde yurtdışı seyahatlerde fiyat ve rezervasyon süreçlerinin daha şeffaf ve güvenilir şekilde yönetilmesi gerektiğini düşünüyorum.",Olumsuz
466,Turkish Airlines,Selçuk İ,1,0,Uzun mesafede konforlu ve kaliteli hizmet,Manila - Istanbul,International,Eylül 2020,21 Eylül 2020,"Turkish Airlines ile Manila-İstanbul arasında uzun mesafeli uçuşları birkaç kez deneyimledim ve her seferinde memnun kaldım. Türkiye ile Filipinler arasındaki uzun uçuş süresine rağmen kabin konforu ve koltuk diz mesafesi oldukça yeterliydi. Hizmet kalitesi, personelin ilgisi ve yolculara yaklaşımı üst seviyedeydi. Daha önce farklı havayollarıyla da seyahat ettim; hizmet iyi olsa bile konfor açısından aynı seviyeyi yakalayamadıklarını düşünüyorum. Özellikle uzun uçuşlarda koltuk aralığının geniş olması büyük fark yaratıyor. İkramların sunumu, kabin temizliği ve uçuş esnasındaki genel düzen profesyoneldi. Genel değerlendirmem, uzun mesafeli seyahatlerde tercih edilebilecek en konforlu seçeneklerden biri olduğu yönünde.",Olumlu
467,Turkish Airlines,tecrube1958,112,0,Pandemi döneminde doluluk ve mesafe sorunu,Istanbul - Bodrum District,Domestic,Ağustos 2020,29 Ağustos 2020,"24 Ağustos gidiş ve 28 Ağustos dönüş uçuşlarında uçağın tamamen dolu olması ve yolcuların dip dibe oturtulması ciddi bir endişe yarattı. Pandemi döneminde sosyal mesafe kurallarına yeterince uyulmaması, yolculuk boyunca tedirginliğe neden oldu. Bazı yolcuların kurallara dikkat etmemesi ve kabin ekibinin sürekli uyarı yapmak zorunda kalması sürecin zor geçtiğini gösteriyordu. Uçuş sonrası sağlık açısından endişe duyulacak bir ortam oluştu. Bu dönemde doluluk oranlarının daha kontrollü ayarlanması ve mesafe kurallarının daha sıkı uygulanması gerektiği düşünülüyor.",Olumsuz
468,Turkish Airlines,Malatian,61,0,Tam kapasite uçuş ve yetersiz hijyen paketi,Antalya - Istanbul,Domestic,Ağustos 2020,24 Ağustos 2020,"Antalya-İstanbul uçuşunda check-in ve bagaj teslim işlemlerinin otomatlar üzerinden yapılabilmesi pratik bir avantaj sağladı. Ancak havalimanında yine de sıra beklemek durumunda kalındı. Uçağın tam kapasite dolu olması ve koltuk aralarında boşluk bırakılmaması pandemi koşullarında rahatsız ediciydi. Uçağa biniş sırasında oluşan yoğunlukta personel yönlendirmesinin daha planlı yapılması gerektiği düşünüldü. Ateş ölçümünün kontrol noktasında yapılması daha düzenli bir akış sağlayabilirdi. Ayrıca verilen hijyen paketi beklentilerin altında kaldı; yalnızca bir maske ve ıslak mendil sunulması yetersiz bulundu. Reklamlarda gösterilen içerikle daha uyumlu ve kapsamlı bir hijyen seti sunulması yolcu memnuniyetini artırabilir.",Olumsuz
469,Turkish Airlines,Malatian,61,0,%100 doluluk ve hijyen beklentisi,Istanbul - Antalya,Domestic,Ağustos 2020,24 Ağustos 2020,"İstanbul-Antalya uçuşunda check-in ve bagaj işlemleri otomatlar aracılığıyla yapılabildi. Ancak uçak %100 doluluk oranıyla hizmet veriyordu ve koltuk aralarında boşluk bırakılmamıştı. Pandemi döneminde sosyal mesafe beklentisi olan yolcular için bu durum rahatsız edici olabilir. Uçuş öncesinde verilen hijyen seti sadece maske ve ıslak mendilden oluşuyordu ve daha kapsamlı bir içerik bekleniyordu. İkram servisi yapılmaması anlaşılabilir olsa da hijyen paketinin kalitesinin artırılması yolcular açısından daha güven verici olurdu. Uçak içinde yalnızca su servisi gerçekleştirildi.",Olumsuz
470,Turkish Airlines,Kerim,1,0,Pandemi döneminde güvenli ve organize hizmet,Izmir - Istanbul,Domestic,Ağustos 2020,24 Ağustos 2020,"İzmir-İstanbul uçuşumda pandemi dönemine uygun kapsamlı önlemler alındığını gözlemledim. Check-in işlemleri, bagaj teslim süreci ve uçağa biniş organizasyonu düzenli ve kontrollü şekilde yürütüldü. Uçak içi havalandırma sistemi ve hijyen uygulamaları hakkında bilgilendirme yapılması güven verdi. Kabin içerisinde hijyen konusunda görevli personelin bulunması ve sürekli kontrol sağlaması yolcular açısından rahatlatıcıydı. Bu süreçte alınan önlemler sayesinde endişe duymadan seyahat edilebildi. Genel olarak düzenli, planlı ve güven veren bir uçuş deneyimi yaşandı.",Olumlu
471,Turkish Airlines,The Chief,1,0,Pandemi sonrası güvenli ve organize uçuş,İstanbul - Antalya,Domestic,Temmuz 2020,19 Ağustos 2020,"Turkish Airlines ile bayram döneminde İstanbul-Antalya uçuşu gerçekleştirdim. Pandemi sonrasında ilk kez uçacağım için başlangıçta tedirgindim; ancak hem havalimanında hem uçuş sürecinde alınan önlemler içimi rahatlattı. Havalimanı girişinde kontroller yapılıyor, sosyal mesafe ve maske kurallarına büyük ölçüde uyuluyordu. Bilet işlemlerimi online tamamladım, bu da süreci hızlandırdı. Uçağa biniş ve iniş koltuk numarasına göre organize edildi. El bagajlarının büyük kısmı alt bagaja alındı; kişisel ve teknolojik eşyaların kabinde taşınmasına izin verildi. Girişte hijyen seti dağıtıldı ve kabin havasının düzenli aralıklarla yenilendiği bilgisi paylaşıldı. Uçak dolu olmasına rağmen genel düzen ve uygulamalar sayesinde rahat bir yolculuk yaptım. Pandemi döneminde seyahatten çekinenler için sürecin kontrollü yönetildiğini söyleyebilirim.",Olumlu
472,Turkish Airlines,ADEM S,15,0,Uzun ve kısa mesafede istikrarlı kalite,İstanbul - Johannesburg,International,Aralık 2019,12 Ağustos 2020,"İstanbul-Johannesburg uzun hat uçuşumda servis, check-in ve kabin hizmetleri oldukça başarılıydı. Uzun ya da kısa mesafe fark etmeksizin hizmet standardının korunması önemli bir artı. İkramların lezzeti ve sunumu tatmin ediciydi; kabin ekibi profesyonel ve yardımseverdi. Zamanında kalkış ve iniş, düzenli bilgilendirme ve temiz kabin ortamı genel deneyimi olumlu etkiledi. Geniş uçuş ağı bulunan destinasyonlarda aynı kaliteyi görmek güven veriyor.",Olumlu
473,Turkish Airlines,si b,2,0,Aktarmada isim hatası ve ek bilet mağduriyeti,Berlin - Antalya,Europe,Eylül 2019,8 Ağustos 2020,"Berlin-İstanbul-Antalya aktarmalı seyahatte soyisim hatası nedeniyle ciddi mağduriyet yaşadım. Yanlış yönlendirme sonucu Ankara’ya gönderildim ve devam uçuşuna alınmayarak yeni bilet almam istendi. İtiraz ettiğimde ücret iadesi yapılacağı söylense de süreçte beklediğim çözümü alamadım. Bu durum hem maddi kayba hem de iş planımın aksamasına yol açtı. Aktarma ve isim düzeltme süreçlerinde daha hızlı, şeffaf ve yolcu odaklı bir çözüm mekanizmasına ihtiyaç olduğunu düşünüyorum.",Olumsuz
474,Turkish Airlines,yasemin,35,0,Pandemide doluluk ve ikram beklentisi,İstanbul - İzmir,Domestic,Temmuz 2020,5 Ağustos 2020,"Pandemi döneminde uçakların tam dolulukla çalışması ve yalnızca su ikramı yapılması hayal kırıklığı yarattı. Paketli ve hijyenik atıştırmalık seçenekleri sunulabilirdi. Sosyal mesafe hassasiyetinin daha görünür şekilde uygulanması ve hizmet içeriğinin pandemi koşullarına uygun olarak zenginleştirilmesi yolcu memnuniyetini artırabilirdi. Fiyat-performans beklentisi açısından hizmetin gözden geçirilmesi gerektiğini düşünüyorum.",Olumsuz
475,Turkish Airlines,Ozgul C,3,0,İptal uçuşta yetersiz iletişim ve destek,Brussels - Samsun,Europe,Temmuz 2020,22 Temmuz 2020,"Brüksel-Samsun uçuşumuz iptal edildiğinde müşteri hizmetlerine ulaşmakta ve etkili destek almakta zorlandık. Bilet alım aşamasında iletişim kanalları erişilebilir olsa da sorun anında geri dönüşlerin yetersiz kaldığını deneyimledik. E-posta yanıtlarının genel ve çözüme yönelik olmaması süreci uzattı. İptal ve yeniden planlama durumlarında daha proaktif bilgilendirme ve hızlı çözüm sunulması gerektiğini düşünüyorum.",Olumsuz
476,Turkish Airlines,Furkan K,0,0,İptal edilen uçuşlar ve iade sürecinde mağduriyet,Sanliurfa Province - Istanbul,Domestic,Haziran 2020,1 Haziran 2020,"Turkish Airlines ile Şanlıurfa-İstanbul hattında iki ayrı tarih için bilet aldım; Mayıs ve 4 Haziran uçuşlarım iptal edildi. İlk iptalin pandemi kaynaklı olduğu belirtildi; ancak kısa süre sonrasındaki ikinci biletin neden iptal edildiğine dair net bir bilgilendirme yapılmadı. Müşteri hizmetlerine ulaşmakta zorlandım ve iade sürecinin uçuş yasakları kalktıktan iki ay sonrasına bırakılacağı ifade edildi. İptal edilecek uçuşların satışta olması ve geri ödeme takviminin belirsizliği maddi açıdan zorlayıcı oldu. Daha şeffaf bilgilendirme, hızlı iletişim ve makul iade süreleri beklenirdi.",Olumsuz
477,Turkish Airlines,emre,0,0,Fiyat artışı ve hizmet beklentisi,Nevsehir - Istanbul,Domestic,Aralık 2019,1 Mayıs 2020,"Nevşehir-İstanbul uçuşumda fiyatların geçmişe göre yükseldiğini ve hizmet içeriğinin azaldığını gözlemledim. Özellikle ikram çeşitliliğinin azalması ve fiyat-performans dengesinin zayıflaması hayal kırıklığı yarattı. Döviz ve maliyet artışlarının etkisi anlaşılabilir; ancak yolcular verilen ücretin karşılığında daha tutarlı bir hizmet standardı bekliyor. İkram kalitesinin ve genel deneyimin iyileştirilmesi memnuniyeti artıracaktır.",Olumsuz
478,Turkish Airlines,Gülnur Kaptanoglu,2,0,Yoğunlukta hızlı destek ve zamanında varış,İstanbul - Ankara,Domestic,Mart 2020,24 Nisan 2020,"Malaga’dan gece saatlerinde İstanbul’a indikten sonra 02:00 Ankara uçuşuna bilet almak için bankoya yöneldik. Pandemi nedeniyle iptal edilen seferler yüzünden yoğunluk vardı; buna rağmen bankodaki ekip hızlı ve çözüm odaklı davranarak kısa sürede bilet düzenledi. Bavulları teslim edip kapıya yetişmemiz zor oldu; ancak zamanında uçağa alındık. Uçuş doluydu ve süreç stresliydi; kabin ekibi durumu sakinlikle yönetti. Ankara’ya sorunsuz iniş yaptık; yalnız bagaj teslim süresi uzundu. Zor koşullarda gösterilen destek için teşekkür ederim.",Olumlu
479,Turkish Airlines,Gülnur Kaptanoglu,0,0,Pandemi öncesi dönüşte profesyonel kabin hizmeti,Malaga - Istanbul,Europe,Mart 2020,24 Nisan 2020,"Porto-Endülüs gezimizin dönüşünü salgın nedeniyle 13 Mart’a çekmek zorunda kaldık. Malaga-İstanbul uçuşu doluydu ve genel atmosfer gergindi. Kabin ekibi, sorun çıkaran bir yolcuya sabırla yaklaşarak süreci iyi yönetti. Yaklaşık 3,5 saatlik uçuşta ikramlar sıcak ve düzenli sunuldu, kabin temizliği yeterliydi. Zor bir dönemde profesyonel ve güler yüzlü hizmet, yolcuların stresini azaltmada etkili oldu.",Olumlu
480,Turkish Airlines,Gülnur Kaptanoglu,1,0,Zamanında kalkış ve konforlu Avrupa uçuşu,İstanbul - Porto,Europe,Mart 2020,24 Nisan 2020,"Yeni İstanbul Havalimanı’ndan Porto’ya gerçekleştirilen uçuşta 30 kişilik grupla sorunsuz bir yolculuk yaptık. Uçağa zamanında alındık ve yaklaşık 5 saatlik uçuşun ardından planlandığı gibi iniş yaptık. Kabin ekibi ilgili ve güler yüzlüydü; yemekler sıcak ve lezzetliydi, içecek servisi yeterliydi. Pilotların yumuşak inişi ve genel operasyon düzeni güven verdi. Avrupa hattında konforlu ve dakik bir deneyim yaşadık.",Olumlu
481,Turkish Airlines,Gülnur Kaptanoglu,1,0,Bağlantılı uçuşta sorunsuz hizmet ve özel yemek talebi,Ankara - Istanbul,Domestic,Mart 2020,24 Nisan 2020,"6 Mart 2020 gecesi Ankara’dan İstanbul Yeni Havalimanı’na gerçekleştirdiğimiz uçuşta saat değişiklikleri nedeniyle küçük bir belirsizlik yaşansa da süreç genel olarak sorunsuz ilerledi. Porto bağlantılı uçuşumuz için bagajlarımızı bankoda teslim ettik ve 7 Mart sabah 09:15 seferine sorunsuz şekilde aktarıldı. İki kişi olarak yaptığımız yolculukta kabin ekibi güler yüzlü ve ilgiliydi. Pilotların tecrübesi ve uçuş güvenliği konusunda verdiği güven memnuniyet vericiydi. İkramlar sıcak ve özenli sunuldu. Özellikle özel beslenme ihtiyacı olan yolcular için glutensiz yemek seçeneğinin artırılması hizmet kalitesini daha da yükseltebilir.",Olumlu
